match_id,match_date,player_id,model_prob,pinnacle_odds,pinnacle_implied,edge,kelly_stake,bet,actual_won,pnl,surface_name,tier_name
26985,2024-09-25,684,0.4591,2.32,0.431,0.0281,0.0,False,1,0.0,Hard,ATP 500
26985,2024-09-25,442,0.5409,1.68,0.5952,-0.0543,0.0,False,0,0.0,Hard,ATP 500
26986,2024-09-25,497,0.477,1.95,0.5128,-0.0358,0.0,False,1,0.0,Hard,ATP 500
26986,2024-09-25,542,0.523,1.95,0.5128,0.0102,0.0,False,0,0.0,Hard,ATP 500
26987,2024-09-25,703,0.5016,1.59,0.6289,-0.1273,0.0,False,1,0.0,Hard,ATP 500
26987,2024-09-25,546,0.4984,2.53,0.3953,0.1031,0.03369281045751634,True,0,-0.03369281045751634,Hard,ATP 500
26988,2024-09-25,16,0.3382,2.54,0.3937,-0.0555,0.0,False,1,0.0,Hard,ATP 500
26988,2024-09-25,289,0.6618,1.58,0.6329,0.0289,0.0,False,0,0.0,Hard,ATP 500
26989,2024-09-25,684,0.2775,3.27,0.3058,-0.0283,0.0,False,1,0.0,Hard,ATP 500
26989,2024-09-25,214,0.7225,1.38,0.7246,-0.0021,0.0,False,0,0.0,Hard,ATP 500
26990,2024-09-25,329,0.7612,1.41,0.7092,0.052,0.0,False,1,0.0,Hard,ATP 500
26990,2024-09-25,494,0.2388,3.12,0.3205,-0.0817,0.0,False,0,0.0,Hard,ATP 500
26991,2024-09-25,289,0.4741,2.28,0.4386,0.0355,0.0,False,1,0.0,Hard,ATP 500
26991,2024-09-25,308,0.5259,1.69,0.5917,-0.0658,0.0,False,0,0.0,Hard,ATP 500
26992,2024-09-25,703,0.3455,2.46,0.4065,-0.061,0.0,False,1,0.0,Hard,ATP 500
26992,2024-09-25,440,0.6545,1.61,0.6211,0.0334,0.0,False,0,0.0,Hard,ATP 500
26993,2024-09-25,333,0.5902,1.38,0.7246,-0.1344,0.0,False,1,0.0,Hard,ATP 500
26993,2024-09-25,692,0.4098,3.29,0.304,0.1058,0.0,False,0,0.0,Hard,ATP 500
26994,2024-09-25,475,0.7024,1.57,0.6369,0.0655,0.0,False,1,0.0,Hard,ATP 500
26994,2024-09-25,540,0.2976,2.55,0.3922,-0.0946,0.0,False,0,0.0,Hard,ATP 500
26995,2024-09-25,542,0.3535,2.18,0.4587,-0.1052,0.0,False,1,0.0,Hard,ATP 500
26995,2024-09-25,269,0.6465,1.75,0.5714,0.0751,0.0,False,0,0.0,Hard,ATP 500
26996,2024-09-25,641,0.7483,1.38,0.7246,0.0237,0.0,False,1,0.0,Hard,ATP 500
26996,2024-09-25,367,0.2517,3.3,0.303,-0.0513,0.0,False,0,0.0,Hard,ATP 500
26997,2024-09-25,442,0.7122,1.3,0.7692,-0.057,0.0,False,1,0.0,Hard,ATP 500
26997,2024-09-25,589,0.2878,3.82,0.2618,0.026,0.0,False,0,0.0,Hard,ATP 500
26998,2024-09-25,579,0.775,1.34,0.7463,0.0287,0.0,False,1,0.0,Hard,ATP 500
26998,2024-09-25,778,0.225,3.53,0.2833,-0.0583,0.0,False,0,0.0,Hard,ATP 500
26999,2024-09-25,497,0.8401,1.2,0.8333,0.0068,0.0,False,1,0.0,Hard,ATP 500
26999,2024-09-25,717,0.1599,5.04,0.1984,-0.0385,0.0,False,0,0.0,Hard,ATP 500
27000,2024-09-25,577,0.3494,2.54,0.3937,-0.0443,0.0,False,1,0.0,Hard,ATP 500
27000,2024-09-25,504,0.6506,1.57,0.6369,0.0137,0.0,False,0,0.0,Hard,ATP 500
27001,2024-09-25,761,0.4619,2.35,0.4255,0.0364,0.0,False,1,0.0,Hard,ATP 500
27001,2024-09-25,683,0.5381,1.66,0.6024,-0.0643,0.0,False,0,0.0,Hard,ATP 500
27002,2024-09-25,16,0.5468,1.66,0.6024,-0.0556,0.0,False,1,0.0,Hard,ATP 500
27002,2024-09-25,201,0.4532,2.34,0.4274,0.0258,0.0,False,0,0.0,Hard,ATP 500
27005,2024-09-26,543,0.3663,1.85,0.5405,-0.1742,0.0,False,1,0.0,Hard,ATP 500
27005,2024-09-26,512,0.6337,2.07,0.4831,0.1506,0.07037383177570095,True,0,-0.07037383177570095,Hard,ATP 500
27007,2024-09-26,543,0.695,1.3,0.7692,-0.0742,0.0,False,1,0.0,Hard,ATP 500
27007,2024-09-26,340,0.305,3.94,0.2538,0.0512,0.0,False,0,0.0,Hard,ATP 500
27008,2024-09-26,512,0.8515,1.15,0.8696,-0.0181,0.0,False,1,0.0,Hard,ATP 500
27008,2024-09-26,629,0.1485,6.38,0.1567,-0.0082,0.0,False,0,0.0,Hard,ATP 500
27009,2024-09-26,543,0.8655,1.09,0.9174,-0.0519,0.0,False,1,0.0,Hard,ATP 500
27009,2024-09-26,335,0.1345,9.43,0.106,0.0285,0.0,False,0,0.0,Hard,ATP 500
27010,2024-09-26,340,0.7422,1.22,0.8197,-0.0775,0.0,False,1,0.0,Hard,ATP 500
27010,2024-09-26,606,0.2578,4.92,0.2033,0.0545,0.0,False,0,0.0,Hard,ATP 500
27012,2024-09-26,512,0.8742,1.07,0.9346,-0.0604,0.0,False,1,0.0,Hard,ATP 500
27012,2024-09-26,555,0.1258,11.5,0.087,0.0388,0.0,False,0,0.0,Hard,ATP 500
27013,2024-09-26,543,0.8583,1.08,0.9259,-0.0676,0.0,False,1,0.0,Hard,ATP 500
27013,2024-09-26,469,0.1417,10.79,0.0927,0.049,0.0,False,0,0.0,Hard,ATP 500
27014,2024-09-26,340,0.8275,1.11,0.9009,-0.0734,0.0,False,1,0.0,Hard,ATP 500
27014,2024-09-26,58,0.1725,8.54,0.1171,0.0554,0.0,False,0,0.0,Hard,ATP 500
27015,2024-09-26,123,0.7694,1.31,0.7634,0.006,0.0,False,1,0.0,Hard,ATP 500
27015,2024-09-26,513,0.2306,3.81,0.2625,-0.0319,0.0,False,0,0.0,Hard,ATP 500
27017,2024-09-26,335,0.5018,1.73,0.578,-0.0762,0.0,False,1,0.0,Hard,ATP 500
27017,2024-09-26,592,0.4982,2.24,0.4464,0.0518,0.020887096774193543,True,0,-0.020887096774193543,Hard,ATP 500
27018,2024-09-26,606,0.7295,1.56,0.641,0.0885,0.0,False,1,0.0,Hard,ATP 500
27018,2024-09-26,631,0.2705,2.62,0.3817,-0.1112,0.0,False,0,0.0,Hard,ATP 500
27019,2024-09-26,629,0.6243,1.67,0.5988,0.0255,0.0,False,1,0.0,Hard,ATP 500
27019,2024-09-26,31,0.3757,2.35,0.4255,-0.0498,0.0,False,0,0.0,Hard,ATP 500
27020,2024-09-26,512,0.8514,1.05,0.9524,-0.101,0.0,False,1,0.0,Hard,ATP 500
27020,2024-09-26,98,0.1486,14.54,0.0688,0.0798,0.0,False,0,0.0,Hard,ATP 500
27022,2024-09-26,340,0.7057,1.24,0.8065,-0.1008,0.0,False,1,0.0,Hard,ATP 500
27022,2024-09-26,69,0.2943,4.56,0.2193,0.075,0.0,False,0,0.0,Hard,ATP 500
27023,2024-09-26,123,0.7136,1.22,0.8197,-0.1061,0.0,False,1,0.0,Hard,ATP 500
27023,2024-09-26,24,0.2864,4.76,0.2101,0.0763,0.0,False,0,0.0,Hard,ATP 500
27024,2024-09-26,548,0.7075,1.65,0.6061,0.1014,0.0,False,1,0.0,Hard,ATP 500
27024,2024-09-26,576,0.2925,2.36,0.4237,-0.1312,0.0,False,0,0.0,Hard,ATP 500
27025,2024-09-26,335,0.6144,1.4,0.7143,-0.0999,0.0,False,1,0.0,Hard,ATP 500
27025,2024-09-26,202,0.3856,3.18,0.3145,0.0711,0.0,False,0,0.0,Hard,ATP 500
27026,2024-09-26,606,0.602,1.86,0.5376,0.0644,0.03744186046511627,True,1,0.0322,Hard,ATP 500
27026,2024-09-26,379,0.398,2.04,0.4902,-0.0922,0.0,False,0,0.0,Hard,ATP 500
27027,2024-09-26,31,0.479,1.78,0.5618,-0.0828,0.0,False,1,0.0,Hard,ATP 500
27027,2024-09-26,580,0.521,2.14,0.4673,0.0537,0.023552631578947363,True,0,-0.023552631578947363,Hard,ATP 500
27029,2024-09-26,592,0.5095,2.06,0.4854,0.0241,0.0,False,1,0.0,Hard,ATP 500
