surfaces,tiers,odds_min,odds_max,edge_thresh,staking,bets,win_rate,roi,clv,sharpe,total_pnl,total_staked
Hard,ATP 500+Masters 1000,2.25,2.75,0.06,quarter-Kelly,80,0.5125,30.54,13.293,1.92,0.56,1.832
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.06,half-Kelly,80,0.5125,30.54,13.293,1.92,1.119,3.665
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.06,quarter-Kelly,80,0.5125,30.54,13.293,1.92,0.56,1.832
Hard,Masters 1000,2.25,4.0,0.05,quarter-Kelly,59,0.4915,30.24,11.936,1.771,0.32,1.057
Hard,ATP 250+Masters 1000,2.25,4.0,0.05,quarter-Kelly,59,0.4915,30.24,11.936,1.771,0.32,1.057
Grass+Hard,Masters 1000,2.25,4.0,0.05,quarter-Kelly,59,0.4915,30.24,11.936,1.771,0.32,1.057
Grass+Hard,Masters 1000,2.25,4.0,0.05,half-Kelly,59,0.4915,30.24,11.936,1.771,0.639,2.114
Hard,ATP 250+Masters 1000,2.25,4.0,0.05,half-Kelly,59,0.4915,30.24,11.936,1.771,0.639,2.114
Hard,Masters 1000,2.25,4.0,0.05,half-Kelly,59,0.4915,30.24,11.936,1.771,0.639,2.114
Grass+Hard,ATP 250+Masters 1000,2.25,4.0,0.05,quarter-Kelly,59,0.4915,30.24,11.936,1.771,0.32,1.057
Grass+Hard,ATP 250+Masters 1000,2.25,4.0,0.05,half-Kelly,59,0.4915,30.24,11.936,1.771,0.639,2.114
Hard,ATP 250+Grand Slam+Masters 1000,2.25,3.25,0.07,flat,51,0.5098,30.18,13.036,1.664,15.39,51.0
Hard,Grand Slam+Masters 1000,2.25,3.25,0.07,flat,51,0.5098,30.18,13.036,1.664,15.39,51.0
Hard,ATP 500+Masters 1000,2.25,2.5,0.03,half-Kelly,68,0.5147,29.88,10.855,1.52,0.811,2.715
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.03,half-Kelly,68,0.5147,29.88,10.855,1.52,0.811,2.715
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.03,quarter-Kelly,68,0.5147,29.88,10.855,1.52,0.406,1.358
Hard,ATP 500+Masters 1000,2.25,2.5,0.03,quarter-Kelly,68,0.5147,29.88,10.855,1.52,0.406,1.358
Hard,ATP 500+Masters 1000,2.25,2.75,0.07,flat,76,0.5263,29.87,13.66,2.105,22.7,76.0
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.07,flat,76,0.5263,29.87,13.66,2.105,22.7,76.0
Hard,ATP 500+Masters 1000,2.25,2.5,0.04,quarter-Kelly,59,0.5085,29.83,11.967,1.342,0.387,1.298
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.04,quarter-Kelly,59,0.5085,29.83,11.967,1.342,0.387,1.298
Hard,ATP 500+Masters 1000,2.25,2.5,0.04,half-Kelly,59,0.5085,29.83,11.967,1.342,0.774,2.596
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.04,half-Kelly,59,0.5085,29.83,11.967,1.342,0.774,2.596
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.05,quarter-Kelly,85,0.5059,29.76,12.834,1.889,0.559,1.877
Hard,ATP 500+Masters 1000,2.25,2.75,0.05,quarter-Kelly,85,0.5059,29.76,12.834,1.889,0.559,1.877
Hard,ATP 500+Masters 1000,2.25,2.75,0.05,half-Kelly,85,0.5059,29.76,12.834,1.889,1.117,3.753
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.05,half-Kelly,85,0.5059,29.76,12.834,1.889,1.117,3.753
Clay+Grass+Hard,ATP 500+Masters 1000,2.5,2.75,0.07,flat,51,0.4902,29.69,13.6,1.602,15.14,51.0
Clay+Grass+Hard,ATP 250+ATP 500+Masters 1000,2.5,2.75,0.07,flat,51,0.4902,29.69,13.6,1.602,15.14,51.0
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.05,quarter-Kelly,52,0.5,29.44,12.971,1.112,0.366,1.242
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.05,half-Kelly,52,0.5,29.44,12.971,1.112,0.732,2.485
Hard,ATP 500+Masters 1000,2.25,2.5,0.05,quarter-Kelly,52,0.5,29.44,12.971,1.112,0.366,1.242
Hard,ATP 500+Masters 1000,2.25,2.5,0.05,half-Kelly,52,0.5,29.44,12.971,1.112,0.732,2.485
Hard,Grand Slam+Masters 1000,2.25,3.25,0.06,half-Kelly,55,0.4909,28.87,12.564,1.477,0.636,2.204
