match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,p1_is_winner,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,winner_won
35,2015-01-05,24,75,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
36,2015-01-05,25,59,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
36,2015-01-05,25,59,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
37,2015-01-05,26,233,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
37,2015-01-05,26,233,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
38,2015-01-05,27,284,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
38,2015-01-05,27,284,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
39,2015-01-05,28,89,42.0,3,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
39,2015-01-05,28,89,42.0,3,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
40,2015-01-05,29,17,42.0,4,3,3,1,0,0,0,0,1,0,0,1,-20.0,-20.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
40,2015-01-05,29,17,42.0,4,3,3,1,0,0,0,0,1,0,0,0,20.0,20.0,-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
41,2015-01-05,19,18,42.0,4,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
41,2015-01-05,19,18,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
42,2015-01-05,30,20,42.0,4,3,3,1,0,0,0,0,1,0,0,1,-20.0,-20.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
42,2015-01-05,30,20,42.0,4,3,3,1,0,0,0,0,1,0,0,0,20.0,20.0,-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
43,2015-01-05,22,21,42.0,4,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
43,2015-01-05,22,21,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
44,2015-01-05,23,24,42.0,4,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
44,2015-01-05,23,24,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
45,2015-01-05,31,25,42.0,4,3,3,1,0,0,0,0,1,0,0,1,-20.0,-20.0,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
45,2015-01-05,31,25,42.0,4,3,3,1,0,0,0,0,1,0,0,0,20.0,20.0,-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
46,2015-01-05,26,27,42.0,4,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
46,2015-01-05,26,27,42.0,4,3,3,1,0,0,0,0,1,0,0,0,0.0,0.0,-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
47,2015-01-05,28,68,42.0,4,3,3,1,0,0,0,0,1,0,0,1,20.0,20.0,-142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
47,2015-01-05,28,68,42.0,4,3,3,1,0,0,0,0,1,0,0,0,-20.0,-20.0,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
48,2015-01-05,29,19,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-18.84999999999991,-18.84999999999991,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
48,2015-01-05,29,19,42.0,5,3,3,1,0,0,0,0,1,0,0,0,18.84999999999991,18.84999999999991,-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
49,2015-01-05,30,22,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-18.84999999999991,-18.84999999999991,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
49,2015-01-05,30,22,42.0,5,3,3,1,0,0,0,0,1,0,0,0,18.84999999999991,18.84999999999991,-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
50,2015-01-05,31,23,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-18.84999999999991,-18.84999999999991,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
50,2015-01-05,31,23,42.0,5,3,3,1,0,0,0,0,1,0,0,0,18.84999999999991,18.84999999999991,-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
51,2015-01-05,28,26,42.0,5,3,3,1,0,0,0,0,1,0,0,1,-1.150000000000091,-1.150000000000091,-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
51,2015-01-05,28,26,42.0,5,3,3,1,0,0,0,0,1,0,0,0,1.150000000000091,1.150000000000091,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,0
52,2015-01-05,29,30,42.0,6,3,3,1,0,0,0,0,1,0,0,1,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.5,0.5,1
