match_id,match_date,winner_id,loser_id,game_diff,total_games,best_of,d_elo_surface,elo_win_prob,court_speed_index,tier_numeric,surface_Hard,surface_Clay,surface_Grass,p1_hold_surface,p2_hold_surface,d_hold_surface,p1_ace_rate,p2_ace_rate,d_ace_rate,p1_first_serve_pct,p2_first_serve_pct,d_first_serve_pct,p1_avg_games_surface,p2_avg_games_surface,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d
55,2015-01-05,32,99,9,15,3,0.0,0.5,42.0,2,1,0,0,0.9705882352941176,,,8.0,,,69.495,,,25.5,,51,0,51
28,2015-01-05,17,191,8,16,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
29,2015-01-05,18,110,3,29,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
30,2015-01-05,19,90,5,33,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
31,2015-01-05,20,121,3,27,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
32,2015-01-05,21,825,9,15,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
34,2015-01-05,23,231,5,19,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
56,2015-01-05,33,826,10,14,3,0.0,0.5,42.0,2,1,0,0,0.4285714285714286,,,3.0,,,54.17,,,15.0,,15,0,15
36,2015-01-05,25,59,11,13,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
37,2015-01-05,26,233,6,30,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
38,2015-01-05,27,284,6,18,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
39,2015-01-05,28,89,4,22,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
40,2015-01-05,29,17,7,17,3,-20.0,0.4712494361077314,42.0,2,1,0,0,,0.875,,,4.0,,,54.17,,,16.0,0,16,-16
35,2015-01-05,24,75,8,16,3,0.0,0.5,42.0,2,1,0,0,,,,,,,,,,,,0,0,0
