match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,h2h_last5_weighted,elo_mkt_gap,d_serve_style_csi,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d,p1_surface_transition,p2_surface_transition,d_surface_transition,serve_hold_matchup,p1_form_regression,p2_form_regression,tournament_proximity,total_games,game_diff,p1_is_winner,winner_won
14,2015-01-04,3,2,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,13,-13,52.0,0.0,52.0,,0.0,0.4983450230083132,0,32,2.0,0,0
3,2015-01-04,3,77,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,2,2,0,0.5,0.5,0.5,0.5,,,45,0,45,0.0,52.0,-52.0,,-0.02957524017699753,0.0,0,16,8.0,1,1
3,2015-01-04,3,77,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-2,0,2,0.5,0.5,0.5,0.5,,,0,45,-45,52.0,0.0,52.0,,0.0,-0.02957524017699753,0,16,8.0,0,0
4,2015-01-04,4,131,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,32,0,32,0.0,52.0,-52.0,,0.5,0.0,0,20,4.0,1,1
4,2015-01-04,4,131,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,32,-32,52.0,0.0,52.0,,0.0,0.5,0,20,4.0,0,0
5,2015-01-04,5,79,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,2,2,0,0.5,0.5,0.5,0.5,,,52,0,52,0.0,52.0,-52.0,,-0.02957524017699753,0.0,0,33,5.0,1,1
5,2015-01-04,5,79,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-2,0,2,0.5,0.5,0.5,0.5,,,0,52,-52,52.0,0.0,52.0,,0.0,-0.02957524017699753,0,33,5.0,0,0
6,2015-01-04,6,118,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,33,0,33,0.0,52.0,-52.0,,0.4712494361077314,0.0,0,17,7.0,1,1
6,2015-01-04,6,118,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,33,-33,52.0,0.0,52.0,,0.0,0.4712494361077314,0,17,7.0,0,0
7,2015-01-04,7,64,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,36,0,36,0.0,52.0,-52.0,,0.4712494361077314,0.0,0,23,3.0,1,1
